food_name,category,healthy,long_covid,me_cfs,mcas,pots,notes
"Sour cream, imitation",Cream / sour cream,ok,ok,ok,caution,neutral,Sour cream fermented; plain cream ok
"Dip, NFS",Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
"Chipotle dip, regular",Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
"Chipotle dip, light",Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
"Onion dip, regular","Alliums (garlic, onion)",ok,ok,ok,caution,neutral,Generally ok; some MCAS patients sensitive
"Onion dip, light","Alliums (garlic, onion)",ok,ok,ok,caution,neutral,Generally ok; some MCAS patients sensitive
"Ranch dip, regular",Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
"Ranch dip, light",Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
"Spinach dip, regular",Spinach,ok,ok,ok,avoid,neutral,Histamine liberator; high oxalates
"Spinach dip, light",Spinach,ok,ok,ok,avoid,neutral,Histamine liberator; high oxalates
"Vegetable dip, regular",Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
"Vegetable dip, light",Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
"Ice cream, NFS",Ice cream / frozen desserts,caution,caution,caution,caution,neutral,High sugar; additives vary
"Ice cream, vanilla",Ice cream / frozen desserts,caution,caution,caution,caution,neutral,High sugar; additives vary
"Ice cream, vanilla, with additional ingredients",Ice cream / frozen desserts,caution,caution,caution,caution,neutral,High sugar; additives vary
"Ice cream, chocolate",Ice cream / frozen desserts,caution,caution,caution,caution,neutral,High sugar; additives vary
"Ice cream, chocolate, with additional ingredients",Ice cream / frozen desserts,caution,caution,caution,caution,neutral,High sugar; additives vary
"Ice cream, soft serve, vanilla",Ice cream / frozen desserts,caution,caution,caution,caution,neutral,High sugar; additives vary
"Ice cream, soft serve, chocolate",Ice cream / frozen desserts,caution,caution,caution,caution,neutral,High sugar; additives vary
"Gelato, vanilla",Ice cream / frozen desserts,caution,caution,caution,caution,neutral,High sugar; additives vary
"Gelato, chocolate",Ice cream / frozen desserts,caution,caution,caution,caution,neutral,High sugar; additives vary
"Ice cream bar, vanilla",Ice cream / frozen desserts,caution,caution,caution,caution,neutral,High sugar; additives vary
"Ice cream bar, vanilla, chocolate coated",Ice cream / frozen desserts,caution,caution,caution,caution,neutral,High sugar; additives vary
Ice cream candy bar,Ice cream / frozen desserts,caution,caution,caution,caution,neutral,High sugar; additives vary
"Ice cream bar, chocolate",Ice cream / frozen desserts,caution,caution,caution,caution,neutral,High sugar; additives vary
"Ice cream sandwich, vanilla",Ice cream / frozen desserts,caution,caution,caution,caution,neutral,High sugar; additives vary
"Ice cream sandwich, chocolate",Ice cream / frozen desserts,caution,caution,caution,caution,neutral,High sugar; additives vary
Ice cream cookie sandwich,Ice cream / frozen desserts,caution,caution,caution,caution,neutral,High sugar; additives vary
"Ice cream cone, scooped, vanilla",Ice cream / frozen desserts,caution,caution,caution,caution,neutral,High sugar; additives vary
"Ice cream cone, scooped, vanilla, waffle cone",Ice cream / frozen desserts,caution,caution,caution,caution,neutral,High sugar; additives vary
"Ice cream cone, NFS",Ice cream / frozen desserts,caution,caution,caution,caution,neutral,High sugar; additives vary
"Ice cream cone, scooped, chocolate",Ice cream / frozen desserts,caution,caution,caution,caution,neutral,High sugar; additives vary
"Ice cream cone, scooped, chocolate, waffle cone",Ice cream / frozen desserts,caution,caution,caution,caution,neutral,High sugar; additives vary
"Ice cream cone, soft serve, vanilla",Ice cream / frozen desserts,caution,caution,caution,caution,neutral,High sugar; additives vary
"Ice cream cone, soft serve, chocolate",Ice cream / frozen desserts,caution,caution,caution,caution,neutral,High sugar; additives vary
"Ice cream cone, soft serve, vanilla, waffle cone",Ice cream / frozen desserts,caution,caution,caution,caution,neutral,High sugar; additives vary
"Ice cream cone, soft serve, chocolate, waffle cone",Ice cream / frozen desserts,caution,caution,caution,caution,neutral,High sugar; additives vary
"Ice cream cone, vanilla, prepackaged",Ice cream / frozen desserts,caution,caution,caution,caution,neutral,High sugar; additives vary
"Ice cream cone, chocolate, prepackaged",Ice cream / frozen desserts,caution,caution,caution,caution,neutral,High sugar; additives vary
"Ice cream soda, flavors other than chocolate",Ice cream / frozen desserts,caution,caution,caution,caution,neutral,High sugar; additives vary
"Ice cream soda, chocolate",Ice cream / frozen desserts,caution,caution,caution,caution,neutral,High sugar; additives vary
"Ice cream sundae, NFS",Ice cream / frozen desserts,caution,caution,caution,caution,neutral,High sugar; additives vary
"Ice cream sundae, fruit topping",Ice cream / frozen desserts,caution,caution,caution,caution,neutral,High sugar; additives vary
Banana split,Other fruits,ok,ok,ok,caution,neutral,"Apple, banana, mango generally ok; varies by fruit"
"Ice cream sundae, hot fudge topping",Ice cream / frozen desserts,caution,caution,caution,caution,neutral,High sugar; additives vary
"Ice cream sundae, caramel topping",Ice cream / frozen desserts,caution,caution,caution,caution,neutral,High sugar; additives vary
"Ice cream, fried",Ice cream / frozen desserts,caution,caution,caution,caution,neutral,High sugar; additives vary
"Light ice cream, NFS",Ice cream / frozen desserts,caution,caution,caution,caution,neutral,High sugar; additives vary
"Light ice cream, vanilla",Ice cream / frozen desserts,caution,caution,caution,caution,neutral,High sugar; additives vary
"Light ice cream, chocolate",Ice cream / frozen desserts,caution,caution,caution,caution,neutral,High sugar; additives vary
"Soft serve, blended with candy or cookies, from fast food",Sweets / confectionery,caution,avoid,caution,avoid,neutral,"Added sugar, artificial colours, preservatives, chocolate = biogenic amines"
"Light ice cream sandwich, vanilla",Ice cream / frozen desserts,caution,caution,caution,caution,neutral,High sugar; additives vary
"Light ice cream sandwich, chocolate",Ice cream / frozen desserts,caution,caution,caution,caution,neutral,High sugar; additives vary
"Light ice cream bar, vanilla",Ice cream / frozen desserts,caution,caution,caution,caution,neutral,High sugar; additives vary
"Light ice cream bar, vanilla, chocolate coated",Ice cream / frozen desserts,caution,caution,caution,caution,neutral,High sugar; additives vary
"Light ice cream bar, chocolate",Ice cream / frozen desserts,caution,caution,caution,caution,neutral,High sugar; additives vary
Creamsicle,Cream / sour cream,ok,ok,ok,caution,neutral,Sour cream fermented; plain cream ok
Fudgesicle,Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
"Light ice cream cone, vanilla, prepackaged",Ice cream / frozen desserts,caution,caution,caution,caution,neutral,High sugar; additives vary
"Light ice cream cone, chocolate, prepackaged",Ice cream / frozen desserts,caution,caution,caution,caution,neutral,High sugar; additives vary
"Sherbet, all flavors",Ice cream / frozen desserts,caution,caution,caution,caution,neutral,High sugar; additives vary
"Fudgesicle, light",Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
"Pudding, chocolate, NFS",Sweets / confectionery,caution,avoid,caution,avoid,neutral,"Added sugar, artificial colours, preservatives, chocolate = biogenic amines"
"Pudding, bread",Bread & baked goods,ok,caution,caution,caution,neutral,Commercial bread often has additives; sourdough higher histamine
"Pudding, flavors other than chocolate, NFS",Sweets / confectionery,caution,avoid,caution,avoid,neutral,"Added sugar, artificial colours, preservatives, chocolate = biogenic amines"
Custard,Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
Flan,Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
Creme brulee,Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
"Pudding, rice",Rice,ok,ok,ok,ok,neutral,Low histamine; easily tolerated
"Firni, Indian pudding",Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
"Pudding, tapioca, made from dry mix",Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
"Pudding, flavors other than chocolate, made from dry mix",Sweets / confectionery,caution,avoid,caution,avoid,neutral,"Added sugar, artificial colours, preservatives, chocolate = biogenic amines"
"Pudding, chocolate, made from dry mix",Sweets / confectionery,caution,avoid,caution,avoid,neutral,"Added sugar, artificial colours, preservatives, chocolate = biogenic amines"
"Pudding, flavors other than chocolate, made from dry mix, sugar free",Sweets / confectionery,caution,avoid,caution,avoid,neutral,"Added sugar, artificial colours, preservatives, chocolate = biogenic amines"
"Pudding, chocolate, made from dry mix, sugar free",Sweets / confectionery,caution,avoid,caution,avoid,neutral,"Added sugar, artificial colours, preservatives, chocolate = biogenic amines"
"Pudding, flavors other than chocolate, ready-to-eat",Sweets / confectionery,caution,avoid,caution,avoid,neutral,"Added sugar, artificial colours, preservatives, chocolate = biogenic amines"
"Pudding, flavors other than chocolate, ready-to-eat, sugar free",Sweets / confectionery,caution,avoid,caution,avoid,neutral,"Added sugar, artificial colours, preservatives, chocolate = biogenic amines"
"Pudding, chocolate, ready-to-eat",Sweets / confectionery,caution,avoid,caution,avoid,neutral,"Added sugar, artificial colours, preservatives, chocolate = biogenic amines"
"Pudding, chocolate, ready-to-eat, sugar free",Sweets / confectionery,caution,avoid,caution,avoid,neutral,"Added sugar, artificial colours, preservatives, chocolate = biogenic amines"
"Pudding, tapioca, ready-to-eat",Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
Banana pudding,Other fruits,ok,ok,ok,caution,neutral,"Apple, banana, mango generally ok; varies by fruit"
Mousse,Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
Dulce de leche,Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
"Barfi or Burfi, Indian dessert",Sweets / confectionery,caution,avoid,caution,avoid,neutral,"Added sugar, artificial colours, preservatives, chocolate = biogenic amines"
Trifle,Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
Tiramisu,Other / mixed dishes,ok,caution,caution,caution,neutral,Highly variable; preparation and ingredients matter
White sauce or gravy,Sauces & dressings,ok,caution,caution,caution,neutral,"Check for vinegar, additives, artificial flavours"
"Cheese, NFS",Cheese,ok,ok,ok,avoid,neutral,"Aged/hard cheeses very high histamine; fresh cheese (ricotta, mozzarella) lower risk"
"Cheese, Blue or Roquefort",Cheese,ok,ok,ok,avoid,neutral,"Aged/hard cheeses very high histamine; fresh cheese (ricotta, mozzarella) lower risk"
"Cheese, Brick",Cheese,ok,ok,ok,avoid,neutral,"Aged/hard cheeses very high histamine; fresh cheese (ricotta, mozzarella) lower risk"
"Cheese, Camembert",Cheese,ok,ok,ok,avoid,neutral,"Aged/hard cheeses very high histamine; fresh cheese (ricotta, mozzarella) lower risk"
"Cheese, Brie",Cheese,ok,ok,ok,avoid,neutral,"Aged/hard cheeses very high histamine; fresh cheese (ricotta, mozzarella) lower risk"
"Cheese, Cheddar",Cheese,ok,ok,ok,avoid,neutral,"Aged/hard cheeses very high histamine; fresh cheese (ricotta, mozzarella) lower risk"
"Cheese, Cheddar, reduced fat",Cheese,ok,ok,ok,avoid,neutral,"Aged/hard cheeses very high histamine; fresh cheese (ricotta, mozzarella) lower risk"
"Cheese, Cheddar, nonfat or fat free",Cheese,ok,ok,ok,avoid,neutral,"Aged/hard cheeses very high histamine; fresh cheese (ricotta, mozzarella) lower risk"
"Cheese, Colby",Cheese,ok,ok,ok,avoid,neutral,"Aged/hard cheeses very high histamine; fresh cheese (ricotta, mozzarella) lower risk"
"Cheese, Colby Jack",Cheese,ok,ok,ok,avoid,neutral,"Aged/hard cheeses very high histamine; fresh cheese (ricotta, mozzarella) lower risk"
"Cheese, Feta",Cheese,ok,ok,ok,avoid,neutral,"Aged/hard cheeses very high histamine; fresh cheese (ricotta, mozzarella) lower risk"
"Cheese, Fontina",Cheese,ok,ok,ok,avoid,neutral,"Aged/hard cheeses very high histamine; fresh cheese (ricotta, mozzarella) lower risk"
"Cheese, goat",Cheese,ok,ok,ok,avoid,neutral,"Aged/hard cheeses very high histamine; fresh cheese (ricotta, mozzarella) lower risk"
"Cheese, Gouda or Edam",Cheese,ok,ok,ok,avoid,neutral,"Aged/hard cheeses very high histamine; fresh cheese (ricotta, mozzarella) lower risk"
"Cheese, Gruyere",Cheese,ok,ok,ok,avoid,neutral,"Aged/hard cheeses very high histamine; fresh cheese (ricotta, mozzarella) lower risk"
"Cheese, Limburger",Cheese,ok,ok,ok,avoid,neutral,"Aged/hard cheeses very high histamine; fresh cheese (ricotta, mozzarella) lower risk"
"Cheese, Monterey",Cheese,ok,ok,ok,avoid,neutral,"Aged/hard cheeses very high histamine; fresh cheese (ricotta, mozzarella) lower risk"
"Cheese, Monterey, reduced fat",Cheese,ok,ok,ok,avoid,neutral,"Aged/hard cheeses very high histamine; fresh cheese (ricotta, mozzarella) lower risk"
"Cheese, Mozzarella, NFS",Cheese,ok,ok,ok,avoid,neutral,"Aged/hard cheeses very high histamine; fresh cheese (ricotta, mozzarella) lower risk"
"Cheese, Mozzarella, part skim",Cheese,ok,ok,ok,avoid,neutral,"Aged/hard cheeses very high histamine; fresh cheese (ricotta, mozzarella) lower risk"
"Cheese, Mozzarella, reduced sodium",Cheese,ok,ok,ok,avoid,neutral,"Aged/hard cheeses very high histamine; fresh cheese (ricotta, mozzarella) lower risk"
"Cheese, Mozzarella, nonfat or fat free",Cheese,ok,ok,ok,avoid,neutral,"Aged/hard cheeses very high histamine; fresh cheese (ricotta, mozzarella) lower risk"
"Cheese, Muenster",Cheese,ok,ok,ok,avoid,neutral,"Aged/hard cheeses very high histamine; fresh cheese (ricotta, mozzarella) lower risk"
"Cheese, Muenster, reduced fat",Cheese,ok,ok,ok,avoid,neutral,"Aged/hard cheeses very high histamine; fresh cheese (ricotta, mozzarella) lower risk"
"Cheese, Parmesan, dry grated",Cheese,ok,ok,ok,avoid,neutral,"Aged/hard cheeses very high histamine; fresh cheese (ricotta, mozzarella) lower risk"
"Cheese, Parmesan, dry grated, reduced fat",Cheese,ok,ok,ok,avoid,neutral,"Aged/hard cheeses very high histamine; fresh cheese (ricotta, mozzarella) lower risk"
"Cheese, Parmesan, hard",Cheese,ok,ok,ok,avoid,neutral,"Aged/hard cheeses very high histamine; fresh cheese (ricotta, mozzarella) lower risk"
"Cheese, Parmesan, dry grated, fat free",Cheese,ok,ok,ok,avoid,neutral,"Aged/hard cheeses very high histamine; fresh cheese (ricotta, mozzarella) lower risk"
"Cheese, Port du Salut",Cheese,ok,ok,ok,avoid,neutral,"Aged/hard cheeses very high histamine; fresh cheese (ricotta, mozzarella) lower risk"
"Cheese, Provolone",Cheese,ok,ok,ok,avoid,neutral,"Aged/hard cheeses very high histamine; fresh cheese (ricotta, mozzarella) lower risk"
